ds,yhat,yhat_lower,yhat_upper
2014-01-01,57.63865359247346,-23.77092560581228,142.1503721867757
2014-01-02,38.64537278798275,-44.377027612485335,123.7082695052404
2014-01-03,47.832545219522615,-35.05811547970672,132.48731830775617
2014-01-04,75.96396379582794,-1.293475361639787,159.1037708847594
2014-01-05,28.965839750954714,-51.499442008855596,102.77123223762646
2014-01-06,21.036919613432545,-61.98542061007102,103.66089061701824
2014-01-07,17.968191945797948,-61.40681893782749,99.69923918961705
2014-01-08,42.29669119081881,-42.84705482904911,125.63483939792661
2014-01-09,27.906223971742982,-56.05776617643237,114.81310508198682
2014-01-10,42.0008022135786,-38.40247989167148,131.28939207426782
2014-01-11,75.23603529297704,-16.26505496077998,158.49669734442622
2014-01-12,33.42601960520371,-48.9214523232522,116.13006857479925
2014-01-13,30.65588769261788,-56.11788348514672,120.83229520326645
2014-01-14,32.60396087189253,-56.852880121724745,115.9177564134707
2014-01-15,61.697959617843445,-24.082161372546803,148.2772717194131
2014-01-16,51.7180454187282,-28.12077140639307,134.82130683983934
2014-01-18,106.43075445356934,24.1018076219453,192.37098844060105
2014-01-19,67.43274836350099,-15.06892842475973,144.8312663438012
2014-01-20,66.80227452731677,-18.861141888343983,143.91663382271193
2014-01-21,70.17069479422064,-11.599920559369014,152.25486236551637
2014-01-22,99.93397587393127,12.664296542055624,183.39710673823632
2014-01-23,89.85629728200851,6.706556549081614,171.12779017931075
2014-01-24,107.04588765106121,23.931439378232803,186.05964710595157
2014-01-25,142.08829503517018,59.24936409128518,226.99718909046916
2014-01-26,100.75459484715489,17.711937859843996,186.6381690052716
2014-01-27,97.11467523923477,15.554437216958288,183.55687272582497
2014-01-28,96.85953425321655,8.178850725216103,180.27525157952113
2014-01-29,122.4570461445604,35.65340431237509,208.2387710808474
2014-01-30,107.75398624419347,24.994713636702993,190.5884796521712
2014-01-31,119.95007729077155,30.30035023674551,205.40354672307757
2014-02-01,149.72930283510584,68.6098753365115,230.7690773724802
2014-02-02,102.96603428067547,14.221186062718651,184.67079408362352
2014-02-03,93.83615629039774,9.679660425879806,179.18115212766662
2014-02-04,88.13717085066051,4.952524910586338,173.139395336405
2014-02-05,108.44178336709578,25.333636729399508,196.16682815012965
2014-02-06,88.69780522782102,2.39449671563655,169.12049617407766
2014-02-07,96.20017897807818,11.788336604314166,176.65443746609688
2014-02-08,121.72041219891452,36.12291971893212,203.82120053953756
2014-02-09,71.21100363166782,-12.655963746951066,149.00894310671242
2014-02-12,69.13618676132927,-9.201683658576018,153.92002779119127
2014-02-13,48.24386101404757,-28.677462681466483,130.35899082199646
2014-02-14,55.317101570288465,-29.510805556877738,137.63373582465545
2014-02-15,81.12692800722041,-2.941321599668159,167.16101825437005
2014-02-16,31.61114021504295,-40.57917413214908,117.37145483249469
2014-02-17,20.984409019535704,-60.269265376034866,106.9153888943831
2014-02-18,15.05785828218606,-70.43734728767171,94.95804456000799
2014-02-19,36.39264629291359,-44.636359581964136,123.50429599344221
2014-02-20,18.90037470779007,-62.63943085949377,101.41104449150411
2014-02-21,29.816114694474052,-54.77934733607543,108.62664506804396
2014-02-22,59.82931008071821,-18.665483540368843,138.57576865549404
2014-02-23,14.790105609893942,-66.8452328087731,99.81174688879808
2014-02-24,8.821274083174998,-84.70270492069253,89.46809112182513
2014-02-25,7.639699584883104,-77.37577861933381,89.7706589529208
2014-02-26,33.71188563720095,-51.86382844109175,120.05087252285657
2014-02-27,20.85627754106028,-61.66734139366601,105.29551528483039
2014-02-28,36.21815031930146,-40.699801544374864,120.48831352476333
2014-03-01,70.40228529168506,-12.650555746480132,146.14705286040834
2014-03-02,29.180948809942905,-50.45027126111016,112.13282923179739
2014-03-03,26.607315178763002,-56.0544402782519,110.79447150865577
2014-03-05,56.79098675485037,-26.391548204415567,138.60726527871782
2014-03-06,45.74620066365556,-35.07651297829804,132.48290129134142
2014-03-07,62.323657755627146,-19.430155470047414,144.6015498505607
2014-03-08,97.11520997043607,10.261049887263686,179.39480324104744
2014-03-09,55.89290931679313,-30.871197855215076,139.9159046550954
2014-03-10,52.7222948254752,-21.668867761856347,139.2990372760189
2014-03-11,53.28479852458542,-27.45816680770861,132.24703999404053
2014-03-12,80.0337247473631,-2.34891598966249,167.616612442555
2014-03-13,66.79658654804805,-11.687720215074394,152.7275240987501
2014-03-14,80.74955426539873,-7.791385676110293,168.34033625063213
2014-03-16,68.03943566813024,-14.97005687003232,146.49939003962376
2014-03-17,61.36272730757149,-20.380190576103878,147.51853131893697
2014-03-18,58.28136598597414,-21.709015090735367,142.40793354485524
2014-03-19,81.33146887407361,0.12485253462286829,155.75816635226073
2014-03-20,64.42361799576366,-19.878998927855115,151.18692061457654
2014-03-21,74.81556425331543,-11.14530198919763,158.9833517765217
2014-03-22,103.24231944298094,20.13966152692832,189.48791527411512
2014-03-23,55.62120537704445,-26.114277413084924,143.48592079315185
2014-03-24,46.16206433473456,-43.6055411486781,128.7993499388037
2014-03-25,40.686627242031236,-46.65240934343352,118.01688304516652
2014-03-26,61.78155553248415,-21.481583705372497,149.04330689130026
2014-03-27,43.39799995505852,-41.66555771019296,130.59375517749183
2014-03-28,52.82348751512949,-25.251195388057475,142.44305292255675
2014-03-29,80.81142387247877,1.791220967741447,167.34244380387008
2014-03-30,33.28579220040022,-43.48670866283426,117.86698978582231
2014-03-31,24.4512598116348,-60.87862222962318,109.69935855235538
2014-04-01,20.112691074282992,-55.81846278397701,104.31132430462814
2014-04-02,42.8285796634361,-37.3884650519146,127.34368265482196
2014-04-03,26.511235523635605,-53.99456423578493,113.35320277138621
2014-04-04,38.39952498076903,-47.7793742209888,117.89672086039427
2014-04-05,69.18943395080454,-11.776560568374988,154.93102807212983
2014-04-06,24.740013573520578,-65.96355170965516,109.84403286558005
2014-04-07,19.184894007765955,-65.60384614054291,101.05870796420882
2014-04-08,18.253335902998025,-63.3893509190409,103.36453024985734
2014-04-09,44.42530084592511,-41.14579753800041,128.9504388266325
2014-04-10,31.53334206130797,-49.4032329885178,116.20859976512675
2014-04-11,46.73707828067313,-35.22224384855551,135.23073759380063
2014-04-12,80.65548434151617,-9.586441779697504,161.41257157327223
2014-04-13,39.07452139524953,-44.66492297386438,117.30146205447369
2014-04-14,36.06025668044347,-43.72054391766819,115.43033425855108
2014-04-15,37.28140806149051,-45.5333951734731,115.45233393828008
2014-04-16,65.16576237006015,-19.070603769976174,144.60450120990475
2014-04-17,53.503239545963986,-33.64453034104859,133.0040074982399
2014-04-18,69.42133959356477,-12.995983353407054,154.51782297470123
2014-04-19,103.51818412454904,15.986198866745251,186.33369221695398
2014-04-20,61.570658124430224,-21.49856503447837,147.6436578824933
2014-04-21,57.64778963539025,-17.714489934747686,140.90187534065493
2014-04-22,57.43329556899102,-26.17000962234211,142.64664445111902
2014-04-23,83.38174118187312,1.1769987811838887,174.76703180619387
2014-04-24,69.32108927405159,-10.621363513391485,151.35454763094418
2014-04-25,82.42738572658992,-2.494092716174989,172.71848275288454
2014-04-26,113.35680813111394,29.362316040931688,195.51283833646303
2014-04-27,67.95260324603103,-14.966565070474049,154.65494759406755
2014-04-28,60.35707579693199,-25.636078825531456,143.6853249532422
2014-04-29,56.332585892829144,-30.207363248274763,138.3831719174978
2014-04-30,78.41603529366697,-0.20589587778092716,164.3746960052721
2014-05-01,60.51965425370676,-22.565766303400036,143.97277760046467
2014-05-02,69.90387342702115,-14.601965306644265,153.28833107771317
2014-05-03,97.30754685616452,15.217083038521139,181.34488787145185
2014-05-04,48.653091587222455,-31.111886435232122,129.82739132481888
2014-05-05,38.15674590062839,-46.484506847281715,118.74279461086589
2014-05-06,31.64794169132582,-51.990572492518424,109.61668396457522
2014-05-07,51.722307765454474,-36.08319854450014,138.87037897351738
2014-05-08,32.341147305885,-55.567297118855265,114.04321418380295
2014-05-09,40.80320710538824,-42.266816053318045,131.83658118245003
2014-05-10,67.87402632269205,-19.2672468357424,153.39612561540076
2014-05-11,19.490452322986464,-63.22133515439048,108.97131182599608
2014-05-12,9.870540044300533,-76.36694730867175,93.4553248941551
2014-05-13,4.832839368948797,-76.7642937489404,91.3507042507857
2014-05-14,26.949589781858343,-54.13249977839507,105.95485289701206
2014-05-15,10.146663971519246,-69.08723973419265,98.2558722476097
2014-05-16,21.676064956195198,-63.67077263995664,101.51692565299476
2014-05-17,52.24625248194181,-27.09494413390997,137.86811772361756
2014-05-18,7.727863316167294,-71.29835904198119,88.54677818282839
2014-05-19,2.2650158056305614,-78.74161522553865,92.83802490123762
2014-05-20,1.5961721129733775,-84.51168989000459,85.63309662071227
2014-05-21,28.209042377573375,-43.84803950213067,118.18704812464456
2014-05-22,15.942334253325527,-67.89796487238564,99.3035021964507
2014-05-23,31.960111892848623,-52.057281185190945,117.32218830055248
2014-05-24,66.88399824433725,-17.73237403306237,143.3918193624132
2014-05-25,26.50074299105103,-52.98990052118718,112.31300554776178
2014-05-26,24.87530479465807,-56.94300624215694,116.18621305893497
2014-05-27,27.673381106653615,-58.79526352691927,107.79217633046882
2014-05-28,57.3178321461155,-27.705305212332572,140.09078841686528
2014-05-29,47.591768252558815,-34.089866569347016,128.04049099824383
2014-05-30,65.61403465476414,-22.736721342409293,146.5819889156621
2014-05-31,101.97230242955877,24.138879533499065,185.74728818511923
2014-06-01,62.431268432183536,-21.9930518610303,142.31491126099348
2014-06-02,61.046099333643525,-21.169008889522573,145.71854863939475
2014-06-03,63.48504584744321,-15.296709105040494,146.03063780904483
2014-06-04,92.18567310248025,10.202888562463865,177.54894097199764
2014-06-05,80.95748227684687,-5.968325359076589,165.69142468855668
2014-06-06,96.95666990665306,17.98318795401333,181.47890660668943
2014-06-07,130.81825186710046,46.61750073062685,218.27008946627083
2014-06-08,88.36307939399411,-1.3776601527821226,176.6361955736392
2014-06-09,83.70991105394339,-1.2868895314150957,165.55446370331302
2014-06-10,82.5965005901124,-1.8370427867023194,166.82907164461153
2014-06-11,107.53418373201129,16.415264205428766,197.56372920158043
2014-06-12,92.40877892365899,8.171370809529467,176.0126858294903
2014-06-13,104.45358985412673,22.974261073266007,192.16780487061246
2014-06-14,134.37977919154127,54.21191919080741,216.20409342909429
2014-06-15,88.08168223215847,7.610264020735955,178.63373127634102
2014-06-16,79.74726521996307,-6.016993540291314,163.31682169667016
2014-06-17,75.17772602401647,-3.4572703901130106,157.85402953153363
2014-06-18,96.94075496087996,10.763241150511407,178.8573906797364
2014-06-19,78.9703011805494,-5.438310812315033,160.49163336023577
2014-06-20,88.53865802807952,6.4745343141873795,173.26465891733423
2014-06-21,116.38615675158593,34.06218448245744,194.22147956991967
2014-06-22,68.4260512030464,-14.552715049288919,145.4272900417929
2014-06-23,58.854805850816376,-20.844702645271358,147.32626754862298
2014-06-24,53.47178582411433,-36.89925193622703,136.71704881857568
2014-06-25,74.8328612766029,-6.755142207029555,160.96106724582054
2014-06-26,56.85075962129671,-28.774096792273113,142.32786131627714
2014-06-27,66.76796114398294,-14.497973081405187,151.01252061864875
2014-06-28,95.28740391559845,14.927967433208886,179.8105357018156
2014-06-29,48.27855226337192,-37.803261272952554,134.86265171348123
2014-06-30,39.88900856620134,-50.2610249856574,124.76421712479133
2014-07-01,35.865631222191496,-51.98379673229374,123.89155685948828
2014-07-02,58.70963282876646,-27.92316290839259,140.16869250753658
2014-07-03,42.27845250964063,-36.9144572059783,124.1631626789038
2014-07-04,53.760157945316024,-26.340726684858225,147.51782230343724
2014-07-05,83.80560377694783,3.8100318121846612,166.51670747123595
2014-07-06,38.254825961193596,-50.93411673731831,123.73601298314038
2014-07-07,31.193002864888133,-52.958571868629186,106.00722950410157
2014-07-08,28.329543047712367,-55.022300878480934,113.5325445653137
2014-07-09,52.13511865128195,-30.559618033501458,133.51964182581273
2014-07-10,36.44423076524539,-54.63832774583114,116.70819555602719
2014-07-11,48.43008341646959,-33.08067446711744,129.90561755189626
2014-07-12,78.7369828052473,-6.741339891422994,155.37130276534396
2014-07-13,33.18777476549491,-48.451994949126636,114.94486823070409
2014-07-14,25.896467959413126,-59.56724413702153,102.31905155668674
2014-07-15,22.589983252205048,-56.04200816042824,108.55065571022075
2014-07-16,45.76349127630318,-34.902330946654715,127.45708332967766
2014-07-17,29.282130726004677,-50.6300661519916,117.77442414518531
2014-07-18,40.354872151334774,-41.152606422036776,121.0787601328509
